rho,s,D,tel_strictly_decreasing,exp_strictly_decreasing,C,c1,c2,C_lower_bound_ok,C_upper_bound_ok,kappa_tel,kappa_exp,identity_lhs,identity_rhs,relative_identity_error,tel_consecutive_diff_max_abs_error,exp_consecutive_diff_max_abs_error
0.1,0.2,6,True,True,0.7347414684496484,0.5604231250720159,1.3767230640603216,True,True,286989795.99999976,3905.996984293901,73474.14684496481,73474.14684496482,1.9805490574898854e-16,5.421010862427522e-20,2.220446049250313e-16
0.1,0.2,7,True,True,0.7347033384947926,0.5604231250720159,1.3767230640603216,True,True,14349489795.999983,19530.99849171531,734703.3384947919,734703.3384947923,6.338085903648577e-16,3.469446951953614e-18,2.0816681711721685e-17
0.1,0.2,8,True,True,0.7346957640462117,0.5604231250720159,1.3767230640603216,True,True,717474489795.999,97655.99924581453,7346957.640462109,7346957.6404621145,7.605781496436391e-16,1.1102230246251565e-16,5.551115123125783e-17
0.1,0.2,9,True,True,0.7346942542818807,0.5604231250720159,1.3767230640603216,True,True,35873724489795.945,488280.9996229028,73469425.428188,73469425.42818804,6.084637700785879e-16,3.469446951953614e-18,2.220446049250313e-16
0.1,0.2,10,True,True,0.7346939528404216,0.5604231250720159,1.3767230640603216,True,True,1793686224489793.2,2441405.99981145,734693952.8404206,734693952.8404212,8.112853596378657e-16,2.220446049250313e-16,6.938893903907228e-18
0.1,0.2,11,True,True,0.7346938926032254,0.5604231250720159,1.3767230640603216,True,True,8.968431122448963e+16,12207030.999905718,7346938926.032245,7346938926.032249,6.490283409238074e-16,5.421010862427522e-20,5.551115123125783e-17
0.1,0.2,12,True,True,0.7346938805608941,0.5604231250720159,1.3767230640603216,True,True,4.4842155612244803e+18,61035155.99995282,73469388056.08928,73469388056.08937,1.246134434999038e-15,5.421010862427522e-20,2.220446049250313e-16
0.1,0.2,13,True,True,0.7346938781529384,0.5604231250720159,1.3767230640603216,True,True,2.24210778061224e+20,305175780.9999763,734693878152.9371,734693878152.938,1.1630588098110219e-15,2.6469779601696886e-23,5.551115123125783e-17
0.1,0.2,14,True,True,0.7346938776713983,0.5604231250720159,1.3767230640603216,True,True,1.1210538903061196e+22,1525878905.9999871,7346938776713.97,7346938776713.977,9.304470484586604e-16,8.470329472543003e-22,2.220446049250313e-16
0.1,0.2,15,True,True,0.7346938775750955,0.5604231250720159,1.3767230640603216,True,True,5.605269451530597e+23,7629394530.9999895,73469387757509.39,73469387757509.5,1.4887152777289952e-15,8.470329472543003e-22,1.3877787807814457e-17
0.1,0.2,16,True,True,0.7346938775558353,0.5604231250720159,1.3767230640603216,True,True,2.8026347257652983e+25,38146972655.99996,734693877555834.0,734693877555834.6,8.506944444388701e-16,8.470329472543003e-22,2.220446049250313e-16
0.1,0.2,17,True,True,0.7346938775519835,0.5604231250720159,1.3767230640603216,True,True,1.401317362882649e+27,190734863280.99985,7346938775519818.0,7346938775519829.0,1.4972222222202607e-15,8.470329472543003e-22,2.220446049250313e-16
0.1,0.2,18,True,True,0.7346938775512131,0.5604231250720159,1.3767230640603216,True,True,7.006586814413242e+28,953674316405.999,7.346938775512114e+16,7.346938775512123e+16,1.3066666666663253e-15,8.470329472543003e-22,6.938893903907228e-18
0.1,0.2,19,True,True,0.7346938775510589,0.5604231250720159,1.3767230640603216,True,True,3.5032934072066205e+30,4768371582030.995,7.346938775510572e+17,7.34693877551058e+17,1.219555555555493e-15,8.470329472543003e-22,5.421010862427522e-20
0.1,0.2,20,True,True,0.7346938775510281,0.5604231250720159,1.3767230640603216,True,True,1.7516467036033097e+32,23841857910155.977,7.346938775510261e+18,7.346938775510274e+18,1.8119111111110937e-15,8.470329472543003e-22,6.938893903907228e-18
0.1,0.2,21,True,True,0.734693877551022,0.5604231250720159,1.3767230640603216,True,True,8.758233518016548e+33,119209289550780.86,7.3469387755102e+19,7.346938775510212e+19,1.5610311111111094e-15,8.470329472543003e-22,2.220446049250313e-16
0.1,0.2,22,True,True,0.7346938775510206,0.5604231250720159,1.3767230640603216,True,True,4.3791167590082734e+35,596046447753905.4,7.346938775510185e+20,7.346938775510197e+20,1.6056320000000014e-15,8.470329472543003e-22,2.220446049250313e-16
0.1,0.2,23,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,2.189558379504136e+37,2980232238769528.0,7.34693877551018e+21,7.346938775510194e+21,1.998119822222225e-15,8.470329472543003e-22,6.938893903907228e-18
0.1,0.2,24,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,1.0947791897520678e+39,1.4901161193847638e+16,7.34693877551018e+22,7.346938775510194e+22,1.941030684444447e-15,8.470329472543003e-22,1.3877787807814457e-17
0.1,0.2,25,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,5.473895948760338e+40,7.450580596923818e+16,7.34693877551018e+23,7.346938775510194e+23,1.8268524088888914e-15,8.470329472543003e-22,6.938893903907228e-18
0.1,0.2,26,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,2.7369479743801684e+42,3.725290298461909e+17,7.346938775510178e+24,7.346938775510193e+24,2.0460746979555586e-15,8.470329472543003e-22,5.551115123125783e-17
0.1,0.2,27,True,True,0.7346938775510203,0.5604231250720159,1.3767230640603216,True,True,1.368473987190084e+44,1.8626451492309542e+18,7.346938775510178e+25,7.346938775510192e+25,1.8706968667022253e-15,8.470329472543003e-22,5.551115123125783e-17
