seed,method,regime,epsilon,leaf_accuracy,macro_f1,path_accuracy,wrong_parent_rate,nll,ece,wrong_branch_mass_mean,catastrophic_wrong_branch
23,hard_map,corrupted,0.1,0.5242622020431328,0.5177253693840743,0.5242622020431328,0.2383654937570942,7.373178958892822,0.13182708200608526,0.23836549701302331,0.2383654937570942
23,tree,corrupted,0.1,0.57761066969353,0.5709641998780367,0.57761066969353,0.1989216799091941,1.5801287022118298,0.03186210701694843,0.263916410463209,0.2224744608399546
23,poincare,corrupted,0.1,0.5774687854710556,0.5707531516677213,0.5774687854710556,0.1989216799091941,1.5800358878889014,0.031847297680396125,0.2649720026995754,0.22360953461975028
23,ultrametric,corrupted,0.1,0.5771850170261067,0.5705192588669322,0.5771850170261067,0.19977298524404086,1.5795513882838255,0.032109417724697616,0.2661093928018531,0.22375141884222474
23,geometric_shell,corrupted,0.1,0.5773269012485811,0.5707222444271776,0.5773269012485811,0.19977298524404086,1.579463762572417,0.031815964236211206,0.2665565553124367,0.22417707150964813
23,vanilla,corrupted,0.2,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,corrupted,0.2,0.5173098751418842,0.5114169993902978,0.5173098751418842,0.2488649262202043,7.650739669799805,0.13735038493987212,0.24886492936619295,0.2488649262202043
23,tree,corrupted,0.2,0.5770431328036323,0.5705221791287521,0.5770431328036323,0.20019863791146425,1.5824632181916929,0.032382506562733726,0.2661738501107021,0.22375141884222474
23,poincare,corrupted,0.2,0.5771850170261067,0.5707468769462913,0.5771850170261067,0.20034052213393871,1.582205206467325,0.030917619740090815,0.267077331506491,0.2243189557321226
23,ultrametric,corrupted,0.2,0.5770431328036323,0.5705720800623182,0.5770431328036323,0.20076617480136208,1.5815910228275905,0.0309844255731714,0.2680583775145312,0.22517026106696936
23,geometric_shell,corrupted,0.2,0.5769012485811578,0.5704970025777389,0.5769012485811578,0.20133371169125994,1.5814405563605662,0.029907059795621294,0.2684408032996519,0.22531214528944382
23,vanilla,corrupted,0.3,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,corrupted,0.3,0.49375709421112374,0.4895819686543843,0.49375709421112374,0.28291713961407494,8.555465698242188,0.15455690420588963,0.28291714292074577,0.28291713961407494
23,tree,corrupted,0.3,0.5756242905788876,0.5691385202975363,0.5756242905788876,0.2021850170261067,1.5849354524190107,0.030688496770329726,0.26853377151143054,0.22587968217934165
23,poincare,corrupted,0.3,0.5759080590238366,0.569480189430782,0.5759080590238366,0.20232690124858116,1.5844971132983863,0.030409386600422434,0.2692697817834646,0.22602156640181612
23,ultrametric,corrupted,0.3,0.5756242905788876,0.5692519407017613,0.5756242905788876,0.20275255391600455,1.5837335621272608,0.029453061732821778,0.2700828261143237,0.2271566401816118
23,geometric_shell,corrupted,0.3,0.5759080590238366,0.5695165657705459,0.5759080590238366,0.20246878547105562,1.5835135700239578,0.029898807624684155,0.2703954078482865,0.22701475595913734
23,vanilla,corrupted,0.4,0.5770431328036323,0.57099933014178,0.5770431328036323,0.20445516458569807,1.580155849456787,0.029933005284885888,0.2780638132815193,0.23155505107832008
23,hard_map,corrupted,0.4,0.4011066969353008,0.39717929262027296,0.4011066969353008,0.42295686719636777,12.27032470703125,0.21767196816970488,0.42295686979265407,0.42295686719636777
23,tree,corrupted,0.4,0.5750567536889898,0.5687273263821867,0.5750567536889898,0.2043132803632236,1.5875614510012643,0.02958938505585474,0.2710065418939635,0.2275822928490352
23,poincare,corrupted,0.4,0.575766174801362,0.5695273094951485,0.575766174801362,0.20374574347332577,1.5869246356433462,0.030268703406624,0.2715573488179026,0.22744040862656073
23,ultrametric,corrupted,0.4,0.5756242905788876,0.5693178205284541,0.5756242905788876,0.20374574347332577,1.5859890379427277,0.030360758150439204,0.27218914770613056,0.22857548240635642
23,geometric_shell,corrupted,0.4,0.5754824063564131,0.569171454652082,0.5754824063564131,0.20388762769580024,1.585691814853418,0.029841574560588693,0.27242611333480926,0.22843359818388195
37,vanilla,exact,0.0,0.5803064699205448,0.5722663550042826,0.5803064699205448,0.2017593643586833,1.5778706073760986,0.032814243326342064,0.27794550411682256,0.23141316685584562
37,hard_map,exact,0.0,0.6875709421112373,0.6740606395921579,0.6875709421112373,0.0,1.0459511280059814,0.027695137726208543,3.89865795139828e-09,0.0
37,tree,exact,0.0,0.610527809307605,0.6027893175867742,0.610527809307605,0.1511066969353008,1.4524669225698854,0.03521247109642408,0.22472510864781972,0.1728149829738933
37,poincare,exact,0.0,0.5996027241770715,0.5915316431900585,0.5996027241770715,0.1685584562996595,1.4982394230713274,0.036501842965623185,0.24448977982333872,0.1942395005675369
37,ultrametric,exact,0.0,0.6064131668558457,0.5984151978770083,0.6064131668558457,0.15749148694665152,1.4715437349234393,0.03656033728434949,0.2331491534109702,0.18132803632236094
37,geometric_shell,exact,0.0,0.6055618615209989,0.597737215630575,0.6055618615209989,0.15876844494892167,1.4754437679830297,0.03569012090623031,0.23485603263743546,0.18388195232690124
